Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,EAD*R,Loss,Expected Values
952,1.04,10.54%,0.004,0.109616,0.930384,0.003721536
953,11.05,34.37%,0.0041,3.797885,7.252115,0.029733672
954,21.79,12.96%,0.0004,2.823984,18.966016,0.007586406
955,18.43,3.95%,0.0004,0.727985,17.702015,0.007080806
956,24.77,35.64%,0.0021,8.828028,15.941972,0.033478141
957,0.53,10.53%,0.0035,0.055809,0.474191,0.001659669
958,7.23,23.41%,0.007,1.692543,5.537457,0.038762199
959,1.25,21.00%,0.008,0.2625,0.9875,0.0079
960,15.27,36.10%,0.0086,5.51247,9.75753,0.083914758
961,24.33,25.86%,0.0092,6.291738,18.038262,0.16595201
962,2.64,6.31%,0.0073,0.166584,2.473416,0.018055937
963,21.64,27.01%,0.0009,5.844964,15.795036,0.014215532
964,1.55,36.99%,0.0074,0.573345,0.976655,0.007227247
965,22.03,24.31%,0.0052,5.355493,16.674507,0.086707436
966,17.4,1.15%,0.0067,0.2001,17.1999,0.11523933
967,22.27,34.48%,0.0084,7.678696,14.591304,0.122566954
968,18.94,16.89%,0.0061,3.198966,15.741034,0.096020307
969,17.15,10.79%,0.0083,1.850485,15.299515,0.126985975
970,3.62,15.81%,0.0035,0.572322,3.047678,0.010666873
971,15.31,29.66%,0.0054,4.540946,10.769054,0.058152892
972,12.01,30.42%,0.0019,3.653442,8.356558,0.01587746
973,24.1,16.33%,0.0054,3.93553,20.16447,0.108888138
974,8.92,21.10%,0.0079,1.88212,7.03788,0.055599252
975,6.37,28.78%,0.0031,1.833286,4.536714,0.014063813
976,1.25,26.77%,0.003,0.334625,0.915375,0.002746125
977,13.6,24.01%,0.01,3.26536,10.33464,0.1033464
978,21.6,31.89%,0.007,6.88824,14.71176,0.10298232
979,6.61,19.32%,0.0021,1.277052,5.332948,0.011199191
980,14.35,26.22%,0.0035,3.76257,10.58743,0.037056005
981,20.85,39.83%,0.0048,8.304555,12.545445,0.060218136
982,14.59,26.44%,0.0045,3.857596,10.732404,0.048295818
983,6.25,32.48%,0.0071,2.03,4.22,0.029962
984,13.08,13.57%,0.0021,1.774956,11.305044,0.023740592
985,12.05,17.11%,0.0052,2.061755,9.988245,0.051938874
986,13.2,8.09%,0.0096,1.06788,12.13212,0.116468352
987,22.63,38.82%,0.0078,8.784966,13.845034,0.107991265
988,17.29,32.07%,0.0001,5.544903,11.745097,0.00117451
989,11.66,9.18%,0.0042,1.070388,10.589612,0.04447637
990,2.54,16.79%,0.0068,0.426466,2.113534,0.014372031
991,10.56,10.50%,0.0085,1.1088,9.4512,0.0803352
992,8.27,22.10%,0.0066,1.82767,6.44233,0.042519378
993,23.94,22.55%,0.0098,5.39847,18.54153,0.181706994
994,21.08,22.60%,0.005,4.76408,16.31592,0.0815796
995,18.42,33.76%,0.0032,6.218592,12.201408,0.039044506
996,2.79,32.15%,0.0035,0.896985,1.893015,0.006625553
997,4.47,31.37%,0.0057,1.402239,3.067761,0.017486238
998,0.13,3.21%,0.0086,0.004173,0.125827,0.001082112
999,8.62,15.13%,0.0014,1.304206,7.315794,0.010242112
1000,13.41,30.69%,0.0037,4.115529,9.294471,0.034389543
1001,4.07,14.91%,0.0066,0.606837,3.463163,0.022856876
1002,17.92,6.36%,0.0012,1.139712,16.780288,0.020136346
1003,21.62,34.80%,0.0096,7.52376,14.09624,0.135323904
1004,21.32,2.47%,0.0006,0.526604,20.793396,0.012476038
1005,19.97,38.69%,0.0002,7.726393,12.243607,0.002448721
1006,3.99,27.87%,0.0086,1.112013,2.877987,0.024750688
1007,1.15,29.00%,0.0003,0.3335,0.8165,0.00024495
1008,6.59,18.53%,0.0027,1.221127,5.368873,0.014495957
1009,13.62,0.86%,0.0049,0.117132,13.502868,0.066164053
1010,22.15,23.93%,0.0074,5.300495,16.849505,0.124686337
1011,14.09,2.24%,0.0057,0.315616,13.774384,0.078513989
1012,21.42,14.65%,0.0054,3.13803,18.28197,0.098722638
1013,4.38,36.82%,0.0076,1.612716,2.767284,0.021031358
1014,22.59,30.70%,0.0046,6.93513,15.65487,0.072012402
1015,0.25,25.18%,0.003,0.06295,0.18705,0.00056115
1016,3.95,31.26%,0.0088,1.23477,2.71523,0.023894024
1017,0.07,18.80%,0.0004,0.01316,0.05684,0.000022736
1018,24.2,23.86%,0.0064,5.77412,18.42588,0.117925632
1019,8.75,35.89%,0.0077,3.140375,5.609625,0.043194113
1020,4.43,36.88%,0.0056,1.633784,2.796216,0.01565881
1021,8.79,5.95%,0.0041,0.523005,8.266995,0.03389468
1022,17.36,3.13%,0.0098,0.543368,16.816632,0.164802994
1023,14.26,17.72%,0.0044,2.526872,11.733128,0.051625763
1024,17.06,5.94%,0.0052,1.013364,16.046636,0.083442507
1025,24.81,12.58%,0.009,3.121098,21.688902,0.195200118
1026,14.32,16.78%,0.0064,2.402896,11.917104,0.076269466
1027,23.72,6.38%,0.0063,1.513336,22.206664,0.139901983
1028,21.14,19.11%,0.0018,4.039854,17.100146,0.030780263
1029,8.31,22.83%,0.0045,1.897173,6.412827,0.028857722
1030,10.51,4.83%,0.001,0.507633,10.002367,0.010002367
1031,1.18,12.59%,0.01,0.148562,1.031438,0.01031438
1032,24.54,28.13%,0.001,6.903102,17.636898,0.017636898
1033,9.19,21.51%,0.0004,1.976769,7.213231,0.002885292
1034,9.09,33.60%,0.0071,3.05424,6.03576,0.042853896
1035,8.37,16.90%,0.0019,1.41453,6.95547,0.013215393
1036,21.74,9.96%,0.0046,2.165304,19.574696,0.090043602
1037,16.34,19.97%,0.0066,3.263098,13.076902,0.086307553
1038,22.26,6.14%,0.0018,1.366764,20.893236,0.037607825
1039,2.26,18.60%,0.0043,0.42036,1.83964,0.007910452
1040,20.33,22.96%,0.0068,4.667768,15.662232,0.106503178
1041,10.57,1.39%,0.0022,0.146923,10.423077,0.022930769
1042,8.05,35.83%,0.0028,2.884315,5.165685,0.014463918
1043,11.39,0.30%,0.002,0.03417,11.35583,0.02271166
1044,19.72,11.69%,0.0054,2.305268,17.414732,0.094039553
1045,20.5,19.10%,0.0009,3.9155,16.5845,0.01492605
1046,23.39,32.76%,0.0092,7.662564,15.727436,0.144692411
1047,4.6,13.57%,0.0076,0.62422,3.97578,0.030215928
1048,16.67,17.98%,0.0066,2.997266,13.672734,0.090240044
1049,5.08,9.01%,0.0058,0.457708,4.622292,0.026809294
1050,7.81,23.86%,0.0018,1.863466,5.946534,0.010703761
1051,4.14,28.89%,0.0043,1.196046,2.943954,0.012659002
1052,2.44,28.27%,0.002,0.689788,1.750212,0.003500424
1053,6.25,35.64%,0.0038,2.2275,4.0225,0.0152855
1054,22.15,25.29%,0.0013,5.601735,16.548265,0.021512745
1055,11.63,29.81%,0.004,3.466903,8.163097,0.032652388
1056,8.83,5.58%,0.0007,0.492714,8.337286,0.0058361
1057,18.24,19.74%,0.0016,3.600576,14.639424,0.023423078
1058,8.37,7.58%,0.0037,0.634446,7.735554,0.02862155
1059,11.15,16.81%,0.0045,1.874315,9.275685,0.041740583
1060,21.54,32.91%,0.0032,7.088814,14.451186,0.046243795
1061,19.05,28.01%,0.0039,5.335905,13.714095,0.053484971
1062,22.31,26.82%,0.0082,5.983542,16.326458,0.133876956
1063,21.31,18.97%,0.0033,4.042507,17.267493,0.056982727
1064,8.5,32.12%,0.0004,2.7302,5.7698,0.00230792
1065,7.22,17.36%,0.0029,1.253392,5.966608,0.017303163
1066,5.9,14.22%,0.0099,0.83898,5.06102,0.050104098
1067,7.7,7.79%,0.0004,0.59983,7.10017,0.002840068
1068,18.92,21.98%,0.0018,4.158616,14.761384,0.026570491
1069,1.98,2.14%,0.0049,0.042372,1.937628,0.009494377
1070,23.09,7.46%,0.0023,1.722514,21.367486,0.049145218
1071,4.75,15.47%,0.0052,0.734825,4.015175,0.02087891
1072,11.32,8.21%,0.005,0.929372,10.390628,0.05195314
1073,8.25,30.88%,0.0028,2.5476,5.7024,0.01596672
1074,2.4,32.35%,0.0081,0.7764,1.6236,0.01315116
1075,2.09,1.68%,0.0047,0.035112,2.054888,0.009657974
1076,6.32,25.96%,0.0015,1.640672,4.679328,0.007018992
1077,0.28,37.25%,0.0074,0.1043,0.1757,0.00130018
1078,11.43,4.53%,0.0087,0.517779,10.912221,0.094936323
1079,13.29,30.32%,0.0034,4.029528,9.260472,0.031485605
1080,3.53,38.91%,0.0056,1.373523,2.156477,0.012076271
1081,24.88,10.86%,0.0002,2.701968,22.178032,0.004435606
1082,6.35,22.17%,0.0063,1.407795,4.942205,0.031135892
1083,11.88,1.02%,0.0026,0.121176,11.758824,0.030572942
1084,16.48,23.81%,0.0096,3.923888,12.556112,0.120538675
1085,9.6,17.18%,0.0087,1.64928,7.95072,0.069171264
1086,15.47,27.31%,0.0059,4.224857,11.245143,0.066346344
1087,5.42,24.66%,0.0094,1.336572,4.083428,0.038384223
1088,12.31,17.47%,0.004,2.150557,10.159443,0.040637772
1089,10.32,37.11%,0.0018,3.829752,6.490248,0.011682446
1090,0.91,36.61%,0.0001,0.333151,0.576849,5.76849E-05
1091,20.04,16.84%,0.0089,3.374736,16.665264,0.14832085
1092,15.74,28.61%,0.0057,4.503214,11.236786,0.06404968
1093,23.06,35.65%,0.0001,8.22089,14.83911,0.001483911
1094,18.48,8.55%,0.0062,1.58004,16.89996,0.104779752
1095,2.88,18.22%,0.0055,0.524736,2.355264,0.012953952
1096,10.36,3.09%,0.007,0.320124,10.039876,0.070279132
1097,22.15,38.85%,0.0093,8.605275,13.544725,0.125965943
1098,18.69,9.35%,0.0071,1.747515,16.942485,0.120291644
1099,9.78,37.75%,0.0096,3.69195,6.08805,0.05844528
1100,4.65,14.49%,0.0013,0.673785,3.976215,0.00516908
1101,11.4,15.78%,0.0005,1.79892,9.60108,0.00480054
1102,14.8,12.68%,0.0057,1.87664,12.92336,0.073663152
1103,7.32,9.47%,0.0093,0.693204,6.626796,0.061629203
1104,9.91,39.12%,0.0012,3.876792,6.033208,0.00723985
1105,1.67,30.54%,0.008,0.510018,1.159982,0.009279856
1106,0.79,34.56%,0.0083,0.273024,0.516976,0.004290901
1107,6.29,15.27%,0.0097,0.960483,5.329517,0.051696315
1108,24.64,22.66%,0.0037,5.583424,19.056576,0.070509331
1109,3.05,16.06%,0.0061,0.48983,2.56017,0.015617037
1110,16.45,5.69%,0.0027,0.936005,15.513995,0.041887787
1111,19.63,37.86%,0.0028,7.431918,12.198082,0.03415463
1112,6.42,26.34%,0.0086,1.691028,4.728972,0.040669159
1113,2.19,38.34%,0.0089,0.839646,1.350354,0.012018151
1114,16.37,32.12%,0.0058,5.258044,11.111956,0.064449345
1115,1.16,26.36%,0.0025,0.305776,0.854224,0.00213556
1116,2.89,35.87%,0.0043,1.036643,1.853357,0.007969435
1117,15.77,11.59%,0.0083,1.827743,13.942257,0.115720733
1118,15.55,8.84%,0.0046,1.37462,14.17538,0.065206748
1119,13.58,11.37%,0.0023,1.544046,12.035954,0.027682694
1120,10.86,28.33%,0.0046,3.076638,7.783362,0.035803465
1121,9.33,16.24%,0.0095,1.515192,7.814808,0.074240676
1122,0.32,35.16%,0.0027,0.112512,0.207488,0.000560218
1123,20.95,33.23%,0.0058,6.961685,13.988315,0.081132227
1124,17.3,18.18%,0.002,3.14514,14.15486,0.02830972
1125,4.24,8.56%,0.0043,0.362944,3.877056,0.016671341
1126,0.87,13.97%,0.0074,0.121539,0.748461,0.005538611
1127,6.41,17.40%,0.006,1.11534,5.29466,0.03176796
1128,24.38,25.97%,0.0006,6.331486,18.048514,0.010829108
1129,18.33,27.02%,0.0097,4.952766,13.377234,0.12975917
1130,1.73,14.42%,0.0038,0.249466,1.480534,0.005626029
1131,10.13,23.39%,0.006,2.369407,7.760593,0.046563558
1132,5.95,17.65%,0.0096,1.050175,4.899825,0.04703832
1133,16.98,35.28%,0.0074,5.990544,10.989456,0.081321974
1134,22,15.14%,0.0063,3.3308,18.6692,0.11761596
1135,10.33,7.93%,0.0042,0.819169,9.510831,0.03994549
1136,7.99,5.01%,0.0048,0.400299,7.589701,0.036430565
1137,2.34,21.31%,0.0076,0.498654,1.841346,0.01399423
1138,18.92,37.96%,0.0056,7.182032,11.737968,0.065732621
1139,22.52,9.86%,0.0095,2.220472,20.299528,0.192845516
1140,22.52,3.78%,0.0028,0.851256,21.668744,0.060672483
1141,12.84,28.14%,0.004,3.613176,9.226824,0.036907296
1142,17.95,36.61%,0.0008,6.571495,11.378505,0.009102804
1143,10.49,27.22%,0.0067,2.855378,7.634622,0.051151967
1144,9.61,2.82%,0.0004,0.271002,9.338998,0.003735599
1145,9.24,39.33%,0.0037,3.634092,5.605908,0.02074186
1146,3.08,25.82%,0.0023,0.795256,2.284744,0.005254911
1147,19.18,36.88%,0.005,7.073584,12.106416,0.06053208
1148,0.38,32.81%,0.0099,0.124678,0.255322,0.002527688
1149,19.71,0.86%,0.009,0.169506,19.540494,0.175864446
1150,7.5,31.66%,0.0033,2.3745,5.1255,0.01691415
1151,6.38,33.09%,0.0069,2.111142,4.268858,0.02945512
1152,18.08,11.75%,0.0041,2.1244,15.9556,0.06541796
1153,5.85,31.73%,0.0056,1.856205,3.993795,0.022365252
1154,21.03,28.05%,0.0002,5.898915,15.131085,0.003026217
1155,7.56,35.21%,0.0037,2.661876,4.898124,0.018123059
1156,2.78,4.41%,0.0048,0.122598,2.657402,0.01275553
1157,5.11,29.33%,0.0017,1.498763,3.611237,0.006139103
1158,11.26,26.14%,0.0079,2.943364,8.316636,0.065701424
1159,20.41,18.65%,0.0089,3.806465,16.603535,0.147771462
1160,15.73,9.71%,0.0077,1.527383,14.202617,0.109360151
1161,12.19,25.19%,0.0086,3.070661,9.119339,0.078426315
1162,18.79,3.59%,0.0055,0.674561,18.115439,0.099634915
1163,2.42,15.12%,0.0089,0.365904,2.054096,0.018281454
1164,7.4,37.88%,0.0042,2.80312,4.59688,0.019306896
1165,14.77,0.84%,0.0017,0.124068,14.645932,0.024898084
1166,23.09,19.76%,0.0035,4.562584,18.527416,0.064845956
1167,16.28,24.54%,0.002,3.995112,12.284888,0.024569776
1168,16.69,8.14%,0.0043,1.358566,15.331434,0.065925166
1169,13.73,26.70%,0.0056,3.66591,10.06409,0.056358904
1170,0.2,23.31%,0.004,0.04662,0.15338,0.00061352
1171,3.13,7.88%,0.0015,0.246644,2.883356,0.004325034
1172,9.05,27.57%,0.0012,2.495085,6.554915,0.007865898
1173,2.7,19.22%,0.0055,0.51894,2.18106,0.01199583
1174,14.67,36.31%,0.0045,5.326677,9.343323,0.042044954
1175,11.4,5.95%,0.0094,0.6783,10.7217,0.10078398
1176,0.66,20.15%,0.0042,0.13299,0.52701,0.002213442
1177,22.01,13.79%,0.0047,3.035179,18.974821,0.089181659
1178,2.24,8.36%,0.003,0.187264,2.052736,0.006158208
1179,10.45,38.35%,0.0095,4.007575,6.442425,0.061203038
1180,19.1,9.23%,0.0022,1.76293,17.33707,0.038141554
1181,4.42,14.74%,0.0032,0.651508,3.768492,0.012059174
1182,13.21,17.95%,0.0038,2.371195,10.838805,0.041187459
1183,3.47,35.75%,0.0049,1.240525,2.229475,0.010924428
1184,10.48,17.49%,0.0072,1.832952,8.647048,0.062258746
1185,9.61,4.44%,0.0053,0.426684,9.183316,0.048671575
1186,23.53,15.56%,0.0092,3.661268,19.868732,0.182792334
1187,5.8,13.87%,0.003,0.80446,4.99554,0.01498662
1188,11.22,23.59%,0.006,2.646798,8.573202,0.051439212
1189,23.77,30.77%,0.0031,7.314029,16.455971,0.05101351
1190,10.27,18.25%,0.0043,1.874275,8.395725,0.036101618
1191,6.39,30.95%,0.0037,1.977705,4.412295,0.016325492
1192,2.06,10.52%,0.0032,0.216712,1.843288,0.005898522
1193,8.93,34.80%,0.0077,3.10764,5.82236,0.044832172
1194,21.82,33.94%,0.0082,7.405708,14.414292,0.118197194
1195,20.71,17.51%,0.0002,3.626321,17.083679,0.003416736
1196,11.79,33.52%,0.0039,3.952008,7.837992,0.030568169
1197,15.7,22.76%,0.003,3.57332,12.12668,0.03638004
1198,15.2,33.53%,0.0006,5.09656,10.10344,0.006062064
1199,18.17,17.47%,0.0037,3.174299,14.995701,0.055484094
1200,7.4,39.53%,0.0059,2.92522,4.47478,0.026401202
1201,18.32,0.53%,0.0014,0.097096,18.222904,0.025512066
1202,17.65,2.66%,0.0075,0.46949,17.18051,0.128853825
1203,16.42,2.05%,0.0077,0.33661,16.08339,0.123842103
1204,18.56,31.01%,0.0056,5.755456,12.804544,0.071705446
1205,4.05,26.66%,0.0098,1.07973,2.97027,0.029108646
1206,9.32,20.51%,0.0096,1.911532,7.408468,0.071121293
1207,11,1.66%,0.0027,0.1826,10.8174,0.02920698
1208,6.91,34.12%,0.0035,2.357692,4.552308,0.015933078
1209,11.21,27.99%,0.0054,3.137679,8.072321,0.043590533
1210,19.13,20.95%,0.0017,4.007735,15.122265,0.025707851
1211,20.18,24.60%,0.0069,4.96428,15.21572,0.104988468
1212,17.06,17.01%,0.0054,2.901906,14.158094,0.076453708
1213,14.46,29.88%,0.0025,4.320648,10.139352,0.02534838
1214,5.86,0.97%,0.0065,0.056842,5.803158,0.037720527
1215,10.6,28.16%,0.0019,2.98496,7.61504,0.014468576
1216,12.1,22.59%,0.0064,2.73339,9.36661,0.059946304
1217,8.38,13.89%,0.006,1.163982,7.216018,0.043296108
1218,8.65,28.11%,0.0015,2.431515,6.218485,0.009327728
1219,11.68,9.12%,0.0037,1.065216,10.614784,0.039274701
1220,11.65,27.43%,0.0015,3.195595,8.454405,0.012681608
1221,7.96,3.99%,0.0011,0.317604,7.642396,0.008406636
1222,15.33,11.28%,0.0008,1.729224,13.600776,0.010880621
1223,24.63,39.44%,0.0082,9.714072,14.915928,0.12231061
1224,1.33,14.81%,0.0052,0.196973,1.133027,0.00589174
1225,2.93,22.29%,0.0046,0.653097,2.276903,0.010473754
1226,8.94,30.96%,0.0066,2.767824,6.172176,0.040736362
1227,10.28,1.60%,0.0017,0.16448,10.11552,0.017196384
1228,8.15,28.85%,0.0019,2.351275,5.798725,0.011017578
1229,22.55,33.80%,0.0071,7.6219,14.9281,0.10598951
1230,17.95,13.75%,0.0054,2.468125,15.481875,0.083602125
1231,17.52,22.17%,0.0092,3.884184,13.635816,0.125449507
1232,0.65,13.42%,0.0022,0.08723,0.56277,0.001238094
1233,23.21,30.41%,0.0017,7.058161,16.151839,0.027458126
1234,10.21,10.76%,0.0089,1.098596,9.111404,0.081091496
1235,3.43,16.24%,0.0077,0.557032,2.872968,0.022121854
1236,11.9,16.16%,0.0011,1.92304,9.97696,0.010974656
1237,8.11,39.81%,0.0049,3.228591,4.881409,0.023918904
1238,3.61,0.37%,0.0034,0.013357,3.596643,0.012228586
1239,17.07,7.71%,0.0049,1.316097,15.753903,0.077194125
1240,17.62,0.61%,0.0033,0.107482,17.512518,0.057791309
1241,5.46,9.10%,0.0079,0.49686,4.96314,0.039208806
1242,14.66,26.57%,0.0015,3.895162,10.764838,0.016147257
1243,8.67,33.04%,0.0012,2.864568,5.805432,0.006966518
1244,13.49,35.61%,0.0089,4.803789,8.686211,0.077307278
1245,0.6,31.42%,0.009,0.18852,0.41148,0.00370332
1246,4.77,26.46%,0.0047,1.262142,3.507858,0.016486933
1247,20.12,26.12%,0.0055,5.255344,14.864656,0.081755608
1248,1.28,33.30%,0.001,0.42624,0.85376,0.00085376
1249,6.56,36.83%,0.0036,2.416048,4.143952,0.014918227
1250,15.35,19.90%,0.0022,3.05465,12.29535,0.02704977
1251,11.4,32.86%,0.0003,3.74604,7.65396,0.002296188
1252,11.4,15.42%,0.0041,1.75788,9.64212,0.039532692
1253,17.91,18.30%,0.0098,3.27753,14.63247,0.143398206
1254,1.46,33.28%,0.0058,0.485888,0.974112,0.00564985
1255,6.52,23.69%,0.0062,1.544588,4.975412,0.030847554
1256,2.43,19.86%,0.0025,0.482598,1.947402,0.004868505
1257,13.48,3.06%,0.0061,0.412488,13.067512,0.079711823
1258,15.68,10.99%,0.0066,1.723232,13.956768,0.092114669
1259,1.7,11.51%,0.0041,0.19567,1.50433,0.006167753
1260,20.55,6.59%,0.0033,1.354245,19.195755,0.063345992
1261,19.27,17.16%,0.0046,3.306732,15.963268,0.073431033
1262,21.5,10.52%,0.0086,2.2618,19.2382,0.16544852
1263,9.47,39.73%,0.0078,3.762431,5.707569,0.044519038
1264,15.18,19.35%,0.0061,2.93733,12.24267,0.074680287
1265,8.39,26.74%,0.0042,2.243486,6.146514,0.025815359
1266,14.45,5.59%,0.0099,0.807755,13.642245,0.135058226
1267,2.54,4.09%,0.006,0.103886,2.436114,0.014616684
1268,0.65,6.56%,0.0038,0.04264,0.60736,0.002307968
1269,6.01,28.90%,0.0039,1.73689,4.27311,0.016665129
1270,15.46,34.38%,0.0092,5.315148,10.144852,0.093332638
1271,0.75,12.47%,0.0002,0.093525,0.656475,0.000131295
1272,8.84,36.52%,0,3.228368,5.611632,0
1273,20.28,18.42%,0.0097,3.735576,16.544424,0.160480913
1274,6.56,0.90%,0.0094,0.05904,6.50096,0.061109024
1275,4.65,39.18%,0.0012,1.82187,2.82813,0.003393756
1276,19.26,22.82%,0.0092,4.395132,14.864868,0.136756786
1277,11.24,6.38%,0.0091,0.717112,10.522888,0.095758281
1278,6.29,11.90%,0.0073,0.74851,5.54149,0.040452877
1279,2.96,18.79%,0.0003,0.556184,2.403816,0.000721145
1280,8.62,15.86%,0.0075,1.367132,7.252868,0.05439651
1281,8.59,1.02%,0.0075,0.087618,8.502382,0.063767865
1282,6.66,6.81%,0.0022,0.453546,6.206454,0.013654199
1283,12.11,15.11%,0.0095,1.829821,10.280179,0.097661701
1284,6.16,17.49%,0.0014,1.077384,5.082616,0.007115662
1285,17.95,26.97%,0.0099,4.841115,13.108885,0.129777962
1286,0.27,2.69%,0.005,0.007263,0.262737,0.001313685
1287,0.23,22.08%,0.0073,0.050784,0.179216,0.001308277
1288,12.06,22.65%,0.0016,2.73159,9.32841,0.014925456
1289,13.3,1.09%,0.0041,0.14497,13.15503,0.053935623
1290,23.17,15.63%,0.0056,3.621471,19.548529,0.109471762
1291,0.64,36.57%,0.0066,0.234048,0.405952,0.002679283
1292,12.37,8.05%,0.0056,0.995785,11.374215,0.063695604
1293,23.27,25.28%,0.0039,5.882656,17.387344,0.067810642
1294,7.35,31.39%,0.0088,2.307165,5.042835,0.044376948
1295,7.39,23.98%,0.0059,1.772122,5.617878,0.03314548
1296,9.05,13.97%,0.0003,1.264285,7.785715,0.002335715
1297,18.7,7.64%,0.0074,1.42868,17.27132,0.127807768
1298,1.02,16.21%,0.0076,0.165342,0.854658,0.006495401
1299,10.49,32.47%,0.0055,3.406103,7.083897,0.038961434
1300,21.2,37.68%,0.0088,7.98816,13.21184,0.116264192
1301,17.04,39.57%,0.0061,6.742728,10.297272,0.062813359
1302,21.32,0.78%,0.0032,0.166296,21.153704,0.067691853
1303,16.62,0.95%,0.0098,0.15789,16.46211,0.161328678
1304,22.48,14.17%,0.0065,3.185416,19.294584,0.125414796
1305,9.81,39.24%,0.0062,3.849444,5.960556,0.036955447
1306,8.98,24.86%,0.0091,2.232428,6.747572,0.061402905
1307,11.77,30.89%,0.0037,3.635753,8.134247,0.030096714
1308,10.71,8.79%,0.0041,0.941409,9.768591,0.040051223
1309,1.54,39.08%,0.0033,0.601832,0.938168,0.003095954
1310,16.88,30.18%,0.0081,5.094384,11.785616,0.09546349
1311,13.62,29.18%,0.003,3.974316,9.645684,0.028937052
1312,18.92,28.78%,0.0096,5.445176,13.474824,0.12935831
1313,2.27,7.11%,0.0035,0.161397,2.108603,0.007380111
1314,21.06,6.07%,0.0017,1.278342,19.781658,0.033628819
1315,7.41,17.77%,0.0056,1.316757,6.093243,0.034122161
1316,8.66,7.86%,0.0082,0.680676,7.979324,0.065430457
1317,18.11,37.84%,0.0014,6.852824,11.257176,0.015760046
1318,23.78,33.34%,0.0055,7.928252,15.851748,0.087184614
1319,15.24,29.25%,0.0068,4.4577,10.7823,0.07331964
1320,2.1,26.66%,0.0087,0.55986,1.54014,0.013399218
1321,11.49,11.03%,0.0068,1.267347,10.222653,0.06951404
1322,23.71,0.17%,0.0083,0.040307,23.669693,0.196458452
1323,7.6,21.44%,0.0051,1.62944,5.97056,0.030449856
1324,24.32,0.20%,0.0067,0.04864,24.27136,0.162618112
1325,16.2,27.48%,0.0064,4.45176,11.74824,0.075188736
1326,3.18,37.33%,0.0072,1.187094,1.992906,0.014348923
1327,3.88,25.60%,0.0066,0.99328,2.88672,0.019052352
1328,3.65,36.00%,0.0011,1.314,2.336,0.0025696
1329,1.55,30.79%,0.0055,0.477245,1.072755,0.005900153
1330,21.15,37.91%,0.0036,8.017965,13.132035,0.047275326
1331,22.93,27.96%,0.0085,6.411228,16.518772,0.140409562
1332,12.07,34.42%,0.0035,4.154494,7.915506,0.027704271
1333,6.3,28.27%,0.0062,1.78101,4.51899,0.028017738
1334,3.37,18.00%,0.0097,0.6066,2.7634,0.02680498
1335,9.72,19.69%,0.0051,1.913868,7.806132,0.039811273
1336,12.86,9.86%,0.0028,1.267996,11.592004,0.032457611
1337,19.69,14.72%,0.0052,2.898368,16.791632,0.087316486
1338,24.24,0.52%,0.0083,0.126048,24.113952,0.200145802
1339,15.39,4.41%,0.0008,0.678699,14.711301,0.011769041
1340,7.9,10.47%,0.0092,0.82713,7.07287,0.065070404
1341,10.86,11.44%,0.0091,1.242384,9.617616,0.087520306
1342,18.73,21.46%,0.0096,4.019458,14.710542,0.141221203
1343,4.77,32.15%,0.0039,1.533555,3.236445,0.012622136
1344,17.57,11.59%,0.0018,2.036363,15.533637,0.027960547
1345,15.06,31.07%,0.0059,4.679142,10.380858,0.061247062
1346,14.05,6.97%,0.0066,0.979285,13.070715,0.086266719
1347,17.57,21.31%,0.0012,3.744167,13.825833,0.016591
1348,9.51,21.11%,0.0038,2.007561,7.502439,0.028509268
1349,1.19,18.04%,0.0024,0.214676,0.975324,0.002340778
1350,15.86,33.05%,0.0041,5.24173,10.61827,0.043534907
1351,8.58,3.20%,0.0066,0.27456,8.30544,0.054815904
1352,9.87,36.73%,0.0056,3.625251,6.244749,0.034970594
1353,0.26,13.18%,0.009,0.034268,0.225732,0.002031588
1354,23.84,11.76%,0.0037,2.803584,21.036416,0.077834739
1355,20.26,1.13%,0.0017,0.228938,20.031062,0.034052805
1356,19.39,1.33%,0.0063,0.257887,19.132113,0.120532312
1357,14.26,37.82%,0.0017,5.393132,8.866868,0.015073676
1358,1.01,12.18%,0.0031,0.123018,0.886982,0.002749644
1359,1.15,4.78%,0.0028,0.05497,1.09503,0.003066084
1360,9.79,22.84%,0.0046,2.236036,7.553964,0.034748234
1361,8.61,18.85%,0.0052,1.622985,6.987015,0.036332478
1362,24.84,16.26%,0.0003,4.038984,20.801016,0.006240305
1363,13.78,6.09%,0.0032,0.839202,12.940798,0.041410554
1364,21.38,13.88%,0.0086,2.967544,18.412456,0.158347122
1365,7.5,8.55%,0.0028,0.64125,6.85875,0.0192045
1366,13.3,36.43%,0.0038,4.84519,8.45481,0.032128278
1367,23.4,11.15%,0.0033,2.6091,20.7909,0.06860997
1368,2.79,35.38%,0.0098,0.987102,1.802898,0.0176684
1369,23.51,4.06%,0.0096,0.954506,22.555494,0.216532742
1370,20.2,36.12%,0.0025,7.29624,12.90376,0.0322594
1371,24.43,22.71%,0.0009,5.548053,18.881947,0.016993752
1372,0.3,12.83%,0.0072,0.03849,0.26151,0.001882872
1373,23.69,33.04%,0.0043,7.827176,15.862824,0.068210143
1374,17.97,19.57%,0.0009,3.516729,14.453271,0.013007944
1375,22.58,8.04%,0.0002,1.815432,20.764568,0.004152914
1376,20.09,31.87%,0.0097,6.402683,13.687317,0.132766975
